condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1formula_mlp_additive_alpha_0,exp3_alignment_behavior,behavior_match,0.58,150,A1_formula,directional_add,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_0,exp3_reasoning_em,contains_em,0.53,200,A1_formula,directional_add,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_0,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_formula,directional_add,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_0,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_formula,directional_add,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_0,structural_token_ratio,ratio,0.04936480542251297,1400,A1_formula,directional_add,0.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_0.5,exp3_alignment_behavior,behavior_match,0.58,150,A1_formula,directional_add,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_0.5,exp3_reasoning_em,contains_em,0.53,200,A1_formula,directional_add,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_0.5,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_formula,directional_add,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_0.5,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1_formula,directional_add,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_0.5,structural_token_ratio,ratio,0.04936480542251297,1400,A1_formula,directional_add,0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_1,exp3_alignment_behavior,behavior_match,0.58,150,A1_formula,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_1,exp3_reasoning_em,contains_em,0.53,200,A1_formula,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1formula_mlp_additive_alpha_1,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1_formula,directional_add,1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
